"","fold","ll0","ll1","delta_ll","rmse0","rmse1","delta_rmse","r2m_m0","r2c_m0","r2m_m1","r2c_m1","delta_r2m","delta_r2c"
"1",1,-6.46726965173808,-6.46226125518897,0.00500839654911633,3353.60972544733,3339.04751434928,-14.5622110980485,0.756501279473972,0.864752829635484,0.756363005628708,0.867174163842787,-0.00013827384526377,0.00242133420730362
"2",2,-6.50276700524085,-6.49720532384248,0.00556168139836899,2510.80682091214,2500.80212450093,-10.0046964112144,0.748696549673113,0.861531185726401,0.748722388953072,0.864312195678616,2.58392799590279e-05,0.0027810099522152
"3",3,-6.51873283646871,-6.51369266157792,0.00504017489078734,2119.3983879141,2110.01067365229,-9.38771426180847,0.741444645002592,0.859337951632833,0.741674627134614,0.861918046703674,0.000229982132022188,0.00258009507084112
"4",4,-6.5255753316139,-6.52027795756051,0.00529737405338437,1635.35594018636,1628.67143018785,-6.68450999850688,0.734990823181503,0.858973337571781,0.735136659157931,0.861586446977188,0.000145835976427811,0.00261310940540738
"5",5,-6.53246965493945,-6.52732084218678,0.00514881275267776,1795.00229424251,1781.37893802384,-13.6233562186721,0.739448112865472,0.858391866112529,0.739587459591223,0.861131234351223,0.000139346725751666,0.00273936823869358
"6",6,-6.51032446207144,-6.50484292150699,0.00548154056444794,2092.49414712132,2089.55990345453,-2.9342436667871,0.736851985809544,0.860631321701339,0.737102710925664,0.863393259583439,0.000250725116120787,0.00276193788210066
"7",7,-6.50718153901635,-6.50177534413902,0.00540619487732652,2298.51772102396,2294.14293313077,-4.37478789319175,0.740892423184282,0.859662802356275,0.741101058050706,0.862218284501241,0.000208634866423418,0.00255548214496604
"8",8,-6.51763934865166,-6.51223820306587,0.0054011455857923,2142.3648940156,2135.33959673098,-7.02529728461877,0.741233428653356,0.859727570762165,0.741159470221955,0.862423104993099,-7.39584314009001e-05,0.00269553423093405
"9",9,-6.52475130081503,-6.51973940554578,0.00501189526925039,2073.14211345871,2062.47074522493,-10.6713682337781,0.734206800262406,0.857711354609254,0.734088935126489,0.860242555606114,-0.000117865135917716,0.00253120099685911
"10",10,-6.51570426888027,-6.5105187537837,0.00518551509656806,1970.26549540176,1960.0309750538,-10.2345203479617,0.737931245182183,0.858549035065392,0.738083126469819,0.861159097718915,0.000151881287636435,0.00261006265352248
